id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;status_kawin;jumlah_penduduk;satuan;tahun
253;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;BELUM KAWIN;445156;JIWA;2015
254;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;KAWIN;609302;JIWA;2015
255;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;CERAI HIDUP;17216;JIWA;2015
256;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;CERAI MATI;39200;JIWA;2015
257;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;BELUM KAWIN;815791;JIWA;2015
258;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;KAWIN;901207;JIWA;2015
259;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;CERAI HIDUP;24802;JIWA;2015
260;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;CERAI MATI;83322;JIWA;2015
261;32;JAWA BARAT;3213;KABUPATEN SUBANG;BELUM KAWIN;649173;JIWA;2015
262;32;JAWA BARAT;3213;KABUPATEN SUBANG;KAWIN;804147;JIWA;2015
263;32;JAWA BARAT;3213;KABUPATEN SUBANG;CERAI HIDUP;28349;JIWA;2015
264;32;JAWA BARAT;3213;KABUPATEN SUBANG;CERAI MATI;58631;JIWA;2015
265;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;BELUM KAWIN;396984;JIWA;2015
266;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;KAWIN;438918;JIWA;2015
267;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;CERAI HIDUP;14365;JIWA;2015
268;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;CERAI MATI;35586;JIWA;2015
269;32;JAWA BARAT;3215;KABUPATEN KARAWANG;BELUM KAWIN;910221;JIWA;2015
270;32;JAWA BARAT;3215;KABUPATEN KARAWANG;KAWIN;1054037;JIWA;2015
271;32;JAWA BARAT;3215;KABUPATEN KARAWANG;CERAI HIDUP;27453;JIWA;2015
272;32;JAWA BARAT;3215;KABUPATEN KARAWANG;CERAI MATI;68031;JIWA;2015
273;32;JAWA BARAT;3216;KABUPATEN BEKASI;BELUM KAWIN;1238779;JIWA;2015
274;32;JAWA BARAT;3216;KABUPATEN BEKASI;KAWIN;1181201;JIWA;2015
275;32;JAWA BARAT;3216;KABUPATEN BEKASI;CERAI HIDUP;18485;JIWA;2015
